Nome;Classe;Pais Sede;Tipo de Ativo;"Ativo
Cancelado";Gestor;2020-05-29;2020-07-31;2020-06-30;2020-04-30;2020-03-31;2020-02-28;2020-01-31;2019-12-31;2019-11-29;2019-10-31;2019-09-30;2019-08-30;2019-07-31;2019-06-28
Caixa FIC Premium RF Ref DI LP;;BR;Fundo;ativo;Caixa;9 176 286 395;9 051 160 354;8 991 093 423;9 888 468 669;10 640 215 768;10 671 285 089;10 790 999 750;10 908 182 708;11 530 893 012;11 885 916 031;11 867 777 266;11 577 789 533;11 633 358 428;11 741 719 319
CSHG Top 30 Fc FI Mult;;BR;Fundo;ativo;Credit Suisse Hedging Griffo Wm S.A.;1 690 404 663;1 713 760 923;1 695 264 375;1 673 922 720;1 636 473 981;1 825 308 555;1 875 186 294;1 881 546 304;1 856 155 753;1 892 452 949;1 877 941 892;1 877 851 465;1 865 421 677;1 850 599 106
Daycoval Classic Firf Cred. Priv.;;BR;Fundo;ativo;Daycoval Asset Management Adm Rec Ltda;819 499 293;809 706 811;812 998 562;838 628 504;919 181 942;1 068 329 953;1 097 562 207;1 142 027 389;1 287 524 575;1 385 813 311;1 436 600 343;1 407 929 517;1 408 890 436;1 410 677 171
Daycoval Deb. Inc Cred Priv FI Mult;;BR;Fundo;ativo;Daycoval Asset Management Adm Rec Ltda;92 400 600;94 586 625;92 334 865;95 242 486;105 429 687;111 153 278;114 997 606;121 027 531;154 895 245;162 250 230;172 201 832;179 954 751;184 126 168;146 846 123
Devant Magna FI RF Cred Priv LP;;BR;Fundo;ativo;Devant Asset Investimentos Ltda;9 351 491;9 228 127;9 250 069;10 921 746;12 642 950;13 147 666;13 949 453;15 012 610;14 909 670;14 792 221;13 443 148;12 274 576;9 208 287;8 773 994
G5 Allocation FICFI Mult;;BR;Fundo;ativo;G5 Administradora de Recursos Ltda;129 838 058;155 506 666;140 917 715;127 448 772;124 854 038;121 402 074;117 200 588;109 813 048;107 220 805;97 753 639;95 983 252;90 570 987;82 647 203;67 127 356
Gama Top FICFI RF Cred Priv LP;;BR;Fundo;ativo;Gama Investimentos Ltda;261 398 180;247 700 742;253 005 964;276 883 360;339 790 185;394 244 029;387 338 829;381 181 771;414 869 139;403 818 322;346 826 973;272 078 265;195 054 776;132 536 319
Icatu Vanguarda Cred Priv FI RF LP;;BR;Fundo;ativo;Icatu Vanguarda Gestao de Recursos;461 561 542;489 574 105;468 482 559;449 412 627;464 165 168;592 596 007;588 887 623;541 026 884;584 545 639;651 984 898;666 762 275;704 857 814;662 360 045;575 632 764
Iridium Pioneer Fundo Inc Inv Infra RF;;BR;Fundo;ativo;Iridium Gestao de Recursos Ltda;216 538 768;180 958 529;199 563 818;251 566 743;351 481 448;396 497 948;428 092 917;473 034 529;556 029 213;616 612 687;609 973 405;560 354 494;521 731 939;415 903 561
Itau Acoes Fof Multigestor X FI;;BR;Fundo;ativo;Itau Dtvm;2 471 315 315;3 041 427 481;2 728 090 913;2 232 168 172;2 015 988 320;2 708 098 416;2 577 868 798;2 190 849 626;1 827 363 423;1 363 446 375;1 174 023 927;1 064 934 445;974 640 645;882 211 374
Itau Fof Orion Mult Cred Priv Ie FICFI;;BR;Fundo;ativo;Itau Dtvm;2 808 465 751;2 903 648 221;2 855 697 660;2 781 374 306;2 709 240 144;3 120 134 122;3 078 097 500;3 073 240 551;3 025 028 190;2 997 272 396;2 865 357 681;2 836 696 554;2 741 094 993;2 644 524 051
Itau Mult Hedge Fund 30 Mult FICFI;;BR;Fundo;ativo;Itau Dtvm;6 551 303 267;6 782 924 452;6 658 477 711;6 491 071 786;6 392 664 506;6 955 697 089;6 912 663 234;6 742 756 872;6 446 370 734;6 366 175 010;6 140 691 976;6 018 223 107;5 844 115 653;5 845 949 376
Itau Selecao Multifundos Mult Fc FI;;BR;Fundo;ativo;Itau Dtvm;7 432 228 475;8 191 885 901;7 716 142 180;7 411 209 365;7 658 419 362;7 880 047 475;7 750 057 791;7 440 150 630;7 156 582 701;7 073 327 427;6 916 219 327;6 799 474 217;6 633 742 592;6 502 894 037
Itau Selecao Multifundos Plus Mult Fc;;BR;Fundo;ativo;Itau Dtvm;4 805 533 169;4 919 573 784;4 848 561 939;4 854 249 337;4 840 318 416;5 257 069 366;5 250 707 114;5 060 038 022;4 848 417 322;4 800 055 856;4 674 241 843;4 588 394 477;4 412 495 148;4 335 302 724
Itau Unibanco Superacao FICFI Acoes Ie;;BR;Fundo;ativo;Itau Dtvm;27 564 456;32 449 907;30 086 186;25 742 747;23 096 659;33 666 329;36 236 221;35 706 354;32 875 318;32 178 277;31 632 460;31 280 206;31 047 437;30 144 539
Itau Institucional RF Ref DI FI;;BR;Fundo;ativo;Itau Unibanco SA;1 032 084 691;900 006 177;842 540 331;1 079 795 675;936 558 106;1 077 211 504;1 204 880 497;922 544 596;967 454 725;936 868 018;911 259 527;998 585 717;1 092 881 217;1 081 819 695
Itau RF LP Cred Priv Diferenciado FI;;BR;Fundo;ativo;Itau Unibanco SA;12 594 360 141;12 001 081 906;12 278 281 514;13 414 426 189;17 026 205 531;18 961 306 685;19 724 445 127;20 566 086 861;22 033 551 466;23 251 596 201;23 904 994 816;22 858 505 232;23 240 440 812;23 262 012 398
Berkeley FI Mult Cred Priv Ie;;BR;Fundo;ativo;Jera Capital Gestao de Recursos;158 344 592;164 376 267;162 697 501;155 219 159;152 666 251;157 540 039;158 920 560;153 554 283;138 716 856;137 681 703;136 513 410;136 364 399;135 941 084;134 407 870
Jgp Corporate FICFI RF Cred Priv LP;;BR;Fundo;ativo;Jgp Gestao de Credito Ltda;231 703 225;235 142 700;232 578 073;233 924 386;271 879 866;286 630 662;286 916 297;289 653 030;291 977 667;309 515 708;312 672 778;326 314 078;325 902 101;326 050 814
Opportunity Allocation Fc FI Mult;;BR;Fundo;ativo;Opp Gestora de Recursos Ltda;58 656 295;62 116 472;60 357 675;58 794 444;57 514 353;65 651 163;67 175 137;65 385 049;74 482 133;77 376 748;75 681 805;74 625 656;92 838 296;91 406 489
Ouro Preto FICFI Mult Cred Priv;;BR;Fundo;ativo;Ouro Preto Investimentos;152 736 983;116 262 517;124 755 404;157 339 967;159 451 141;160 466 487;161 607 112;168 231 255;166 716 835;166 424 921;163 179 699;162 217 700;155 730 766;151 329 423
Alocacao Fundo Incent de Invest Infra RF;;BR;Fundo;ativo;Reliance Asset;189 290 125;197 283 487;191 936 030;185 210 822;184 384 939;196 028 177;195 695 492;194 509 862;192 539 286;201 805 149;202 890 628;200 196 966;202 664 013;206 626 282
Safra Exec Fc FI RF;;BR;Fundo;ativo;Safra Asset Management Ltda;6 420 807 220;6 619 029 665;6 572 587 726;6 410 711 043;6 578 310 119;6 865 169 877;6 918 474 985;7 095 924 675;7 362 661 809;7 568 542 815;7 529 900 165;7 409 425 479;7 281 958 316;7 176 993 593
Cart Sam Private Pi Mult Cred Priv FI;;BR;Fundo;ativo;Santander Brasil Gestao de Recursos Ltda;1 553 768;1 337 904;1 516 642;1 588 392;1 607 165;1 773 276;1 795 707;1 783 701;1 674 805;1 550 840;1 661 635;1 602 778;1 540 783;1 475 988
Santander Acoes Fundo de Fundos Lb FI;;BR;Fundo;ativo;Santander Brasil Gestao de Recursos Ltda;586 419 403;677 913 003;628 464 553;547 431 477;506 594 869;658 321 204;662 990 897;575 570 532;503 440 863;475 000 443;445 325 512;418 094 947;380 442 287;351 740 949
Santander Alocacao Mult Fc FI;;BR;Fundo;ativo;Santander Brasil Gestao de Recursos Ltda;2 752 467 200;2 812 972 172;2 764 518 000;2 747 370 749;2 891 975 353;3 135 413 865;3 122 050 601;3 028 663 674;2 930 600 951;2 929 921 549;2 891 740 717;2 855 379 114;2 786 862 928;2 738 052 209
Santander Fc FI Institucional RF Ref DI;;BR;Fundo;ativo;Santander Brasil Gestao de Recursos Ltda;2 557 300 344;1 691 934 948;1 849 278 571;2 829 946 609;3 385 573 184;4 610 254 171;4 320 739 664;4 076 826 634;4 601 854 399;4 397 786 267;4 419 941 546;4 607 155 342;4 425 062 218;4 715 980 751
Santander FI Master RF Cred Priv LP;;BR;Fundo;ativo;Santander Brasil Gestao de Recursos Ltda;2 206 809 292;2 049 550 457;2 072 403 554;2 324 110 018;2 655 635 418;3 054 151 335;3 142 058 764;3 095 130 154;3 412 229 067;3 947 167 010;3 920 112 620;3 696 221 690;3 714 312 757;3 608 214 498
Santander Pb Valor Acoes Fc FI;;BR;Fundo;ativo;Santander Brasil Gestao de Recursos Ltda;35 564 657;50 090 158;42 929 209;33 466 104;30 130 526;44 437 358;53 133 934;52 730 243;44 848 986;41 347 110;38 893 373;37 342 192;35 459 838;33 691 470
Solis Cap Ant Cred Priv FICFI Mult LP;;BR;Fundo;ativo;Solis Investimentos;42 954 562;38 697 504;41 469 871;107 830 739;109 162 155;109 563 586;778 558 205;799 634 996;814 995 068;825 584 659;834 149 656;845 230 512;805 238 463;718 299 939
Sparta Deb Inc Fc F Inc Inv Infr RF;;BR;Fundo;ativo;Sparta;306 423 419;273 912 494;295 185 350;334 239 112;402 089 101;434 489 423;296 407 486;321 593 541;382 906 750;461 305 572;507 145 792;531 814 187;549 659 995;564 805 161
Sparta Top FICFI RF Cred Priv LP;;BR;Fundo;ativo;Sparta;1 296 674 484;1 249 243 138;1 259 326 404;1 357 924 095;1 772 240 356;2 079 717 851;2 198 887 362;2 363 858 562;2 668 115 083;2 842 749 028;2 823 540 801;2 929 719 070;2 979 944 035;3 008 066 507
Valora Guardian Fc FI Mult Cred Priv;;BR;Fundo;ativo;Valora Gestao de Investimentos Ltda;152 660 697;131 363 047;139 335 637;156 356 147;161 943 019;168 480 054;172 206 451;179 188 953;183 145 546;187 360 416;190 725 564;196 454 714;198 761 410;199 673 384
Vitreo Fof M F Fc de FI Mult Cred Priv;;BR;Fundo;ativo;Vitreo Gestao de Recursos Ltda;617 562 948;675 914 755;639 710 977;616 762 741;597 492 849;649 856 250;648 751 301;621 044 403;572 752 378;553 366 739;514 195 928;492 585 299;455 316 105;396 896 740
Xpa Acoes Fc de FIA;;BR;Fundo;ativo;Xp Advisory Gestao de Recursos;4 895 426;4 619 433;4 288 392;4 914 171;4 476 382;6 199 491;6 645 891;6 663 392;6 197 759;6 153 686;6 087 927;5 972 049;5 917 042;5 799 453
Selection Acoes Fc FIA;;BR;Fundo;ativo;Xp Vista Asset Management Ltda;32 033 139;49 817 914;39 767 930;26 639 549;19 668 430;26 454 061;22 794 979;18 772 425;13 731 827;9 966 192;6 708 495;5 473 341;4 042 127;3 139 063
Xp Debent Incent Cred Priv Fc FI Mult;;BR;Fundo;ativo;Xp Vista Asset Management Ltda;717 800 778;720 424 504;713 466 019;728 339 998;805 403 133;833 683 651;794 888 305;758 033 341;742 918 804;711 724 704;608 395 961;569 052 183;509 240 182;476 867 058
Xp Investor FI RF Cred Priv LP;;BR;Fundo;ativo;Xp Vista Asset Management Ltda;930 112 924;867 285 183;899 797 802;993 414 787;1 293 003 942;1 618 038 591;1 634 940 992;1 669 174 021;1 848 797 818;2 037 653 954;2 116 945 003;2 096 271 148;2 056 854 695;1 930 047 953
Xp Top Cred Priv RF FI LP;;BR;Fundo;ativo;Xp Vista Asset Management Ltda;874 091 613;793 004 996;827 033 889;949 841 109;1 292 497 461;1 426 924 139;1 392 837 896;1 480 887 350;1 643 594 385;1 707 004 920;1 728 189 778;1 717 209 848;1 806 794 549;1 862 693 695
